id,title,stockCode,memberType,kfifUrl
872,AYEN ENERJİ A.Ş.,AYEN,IGS,https://www.kap.org.tr/tr/kfif/4028e4a240e95dc90140edf072ef0165
1584,AYES ÇELİK HASIR VE ÇİT SANAYİ A.Ş.,AYES,IGS,https://www.kap.org.tr/tr/kfif/4028e4a1416f846101416f85f6730028
873,AYGAZ A.Ş.,AYGAZ,IGS,https://www.kap.org.tr/tr/kfif/4028e4a140e95be70140ee03bd6000e0
5649,AZTEK TEKNOLOJİ ÜRÜNLERİ TİCARET A.Ş.,AZTEK,IGS,https://www.kap.org.tr/tr/kfif/8acae2c4819d0efe01826e96dd896e0e
2364,AZİMUT PORTFÖY YÖNETİMİ A.Ş.,GPO,"FK, PYS",
874,BAGFAŞ BANDIRMA GÜBRE FABRİKALARI A.Ş.,BAGFS,IGS,https://www.kap.org.tr/tr/kfif/4028e4a240f2ef4701410810f53601c4
6005,BAHADIR KİMYA SANAYİ VE TİCARET A.Ş.,BAHKM,IGS,https://www.kap.org.tr/tr/kfif/8acae2c48c3efabf0191137b972152e7
875,BAK AMBALAJ SANAYİ VE TİCARET A.Ş.,BAKAB,IGS,https://www.kap.org.tr/tr/kfif/4028e4a1415f4d9b01415fdc75f12f64
175,BAKIŞ YEMİNLİ MALİ MÜŞAVİRLİK VE BAĞIMSIZ DENETİM A.Ş.,,BDK,
1627,BALATACILAR BALATACILIK SANAYİ VE TİCARET A.Ş.,BALAT,IGS,https://www.kap.org.tr/tr/kfif/4028e4a1416e696501416ee5a3d939ad
5614,BALSU GIDA SANAYİ VE TİCARET A.Ş.,BALSU,DG,
2011,BANK OF AMERICA YATIRIM BANK A.Ş.,MLB,YK,
1523,BANKPOZİTİF KREDİ VE KALKINMA BANKASI A.Ş.,"BPOZ, POZ",YK,
2468,BANTAŞ BANDIRMA AMBALAJ SANAYİ VE TİCARET A.Ş.,BNTAS,IGS,https://www.kap.org.tr/tr/kfif/402821824da3aa9b014ef2c4cda22947
876,BANVİT BANDIRMA VİTAMİNLİ YEM SANAYİ A.Ş.,BANVT,IGS,https://www.kap.org.tr/tr/kfif/4028e4a1415f4d990141601902e33250
5567,BAREM AMBALAJ SANAYİ VE TİCARET A.Ş.,BARMA,IGS,https://www.kap.org.tr/tr/kfif/8acae2c47f7cb491017fb5f0afdf174a
5906,BATI EGE GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,BEGYO,IGS,https://www.kap.org.tr/tr/kfif/8acae2c48b2fa25a018c01ae7c3973de
878,BATISÖKE SÖKE ÇİMENTO SANAYİİ T.A.Ş.,BSOKE,IGS,https://www.kap.org.tr/tr/kfif/4028e4a24158e42401415920fc3308c5
877,BATIÇİM BATI ANADOLU ÇİMENTO SANAYİİ A.Ş.,BTCIM,IGS,https://www.kap.org.tr/tr/kfif/4028e4a140e95be70140ee07044700eb
5853,BAYDÖNER RESTORANLARI A.Ş.,BYDNR,IGS,https://www.kap.org.tr/tr/kfif/8acae2c586d22c510189de64baa92725
5054,BAYRAK EBT TABAN SANAYİ VE TİCARET A.Ş.,BAYRK,IGS,https://www.kap.org.tr/tr/kfif/8acae2c56faf888c0170a0e2d88d77c3
2270,BAŞER FAKTORİNG A.Ş.,BSRFK,IGMS,
2840,BAŞKENT DOĞALGAZ DAĞITIM GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,BASGZ,IGS,https://www.kap.org.tr/tr/kfif/4028e4a240f2ef4701413a3410a605ce
1274,BAŞKENT MENKUL DEĞERLER A.Ş.,BSK,YK,
1582,BAŞTAŞ BAŞKENT ÇİMENTO SANAYİ VE TİCARET A.Ş.,BASCM,IGS,https://www.kap.org.tr/tr/kfif/4028e4a140f2ed7201413a4092720892
201,BDD BAĞIMSIZ DENETİM VE DANIŞMANLIK A.Ş.,,BDK,
103,BDO DENET BAĞIMSIZ DENETİM VE DANIŞMANLIK A.Ş.,,BDK,
1693,BERA HOLDİNG A.Ş.,BERA,IGS,https://www.kap.org.tr/tr/kfif/4028e4a241733d42014174023cb0192b
1836,BEREKET EMEKLİLİK VE HAYAT A.Ş.,,FK,
2278,BEREKET VARLIK KİRALAMA A.Ş.,BRKT,IGS,
1537,BERKOSAN YALITIM VE TECRİT MADDELERİ ÜRETİM VE TİCARET A.Ş.,BRKSN,IGS,https://www.kap.org.tr/tr/kfif/4028e4a1413b7ef4014144cf3f7b0075
1518,BEYAZ FİLO OTO KİRALAMA A.Ş.,BEYAZ,IGS,https://www.kap.org.tr/tr/kfif/4028e4a141558bdd01415619e62c0577
881,BEŞİKTAŞ FUTBOL YATIRIMLARI SANAYİ VE TİCARET A.Ş.,BJKAS,IGS,https://www.kap.org.tr/tr/kfif/4028e4a241a25fcb0141a276cda10189
5931,BLUPAY MENKUL DEĞERLER A.Ş.,BLU,YK,
112,BM BAĞIMSIZ DENETİM A.Ş.,,BDK,
5590,BMS BİRLEŞİK METAL SANAYİ VE TİCARET A.Ş.,BMSTL,IGS,https://www.kap.org.tr/tr/kfif/8acae2c47f7cb49201802bda6cbf6b77
5007,BMS ÇELİK HASIR SANAYİ VE TİCARET A.Ş.,BMSCH,IGS,https://www.kap.org.tr/tr/kfif/8acae2c56eccfc0c016f18f5b1e21747
1922,BNP PARIBAS CARDIF EMEKLİLİK A.Ş.,,FK,
5822,BNP PARIBAS ISSUANCE B.V.,BNPPI,IGS,
2803,BNP PARİBAS FİNANSAL KİRALAMA A.Ş.,BNPFK,IGMS,
5929,BOR ŞEKER A.Ş.,BORSK,IGS,https://www.kap.org.tr/tr/kfif/8acae2c58b2fa64e018d63bcd2684e71
5878,BORLEASE OTOMOTİV A.Ş.,BORLS,IGS,https://www.kap.org.tr/tr/kfif/8acae2c486d22a3a018b03b5cfbe29b8
49,BORSA İSTANBUL A.Ş.,,DDK,
50,BORSA İSTANBUL BISTECH DEVRE KESİCİ UYGULAMASI,,DDK,
886,BORUSAN BİRLEŞİK BORU FABRİKALARI SANAYİ VE TİCARET A.Ş.,BRSAN,IGS,https://www.kap.org.tr/tr/kfif/4028e4a140f2ed7201412ac9ca5d06e6
887,BORUSAN YATIRIM VE PAZARLAMA A.Ş.,BRYAT,IGS,https://www.kap.org.tr/tr/kfif/4028e4a1415f4d9b0141603cd3904103
888,BOSCH FREN SİSTEMLERİ SANAYİ VE TİCARET A.Ş.,BFREN,IGS,https://www.kap.org.tr/tr/kfif/4028e4a140e95bea0140ee30fb6001b9
889,BOSSA TİCARET VE SANAYİ İŞLETMELERİ T.A.Ş.,BOSSA,IGS,https://www.kap.org.tr/tr/kfif/4028e4a1415f4d9b014160053ed13d39
5812,BOĞAZİÇİ BAĞIMSIZ DENETİM VE YEMİNLİ MALİ MÜŞAVİRLİK A.Ş.,,BDK,
5320,BOĞAZİÇİ BETON SANAYİ VE TİCARET A.Ş.,BOBET,IGS,https://www.kap.org.tr/tr/kfif/8acae2c4782a4d560178d45481dc5948
891,BRİSA BRİDGESTONE SABANCI LASTİK SANAYİ VE TİCARET A.Ş.,BRISA,IGS,https://www.kap.org.tr/tr/kfif/4028e4a140e95bea0140ee33bff201cd
1343,BULLS YATIRIM MENKUL DEĞERLER A.Ş.,BLS,YK,
2494,BURGAN BANK A.Ş.,"BRGAN, BUR",YK,
2434,BURGAN FİNANSAL KİRALAMA A.Ş.,BRGFK,IGMS,
1313,BURGAN YATIRIM MENKUL DEĞERLER A.Ş.,EFG,YK,
895,BURSA ÇİMENTO FABRİKASI A.Ş.,BUCIM,IGS,https://www.kap.org.tr/tr/kfif/4028e4a140ee35c00140ee41a5e4000f
